"","Gender","IsMarried","IsPremiumCust","City","JobType","HouseHoldPopulation","CurrentPlan","AccType","Movie1","Movie2","Movie3","Movie4","Movie5","Movie6","Movie7","Movie8","Movie9","Movie10","Salary_cat","Age_Cat","CustSeniority_Cat","CustCat_Names"
"1","Gender-M","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-5","CurrentPlan-PlanA","AccType-Single","Movie-Balto","Movie-Tom And Huck","Movie-Waiting to Exhale","Movie-Jumanji","Movie-Toy Story","Movie-GoldenEye","Movie-Nixon","Movie-Tom And Huck","Movie-Nixon","Movie-Dracula: Dead and Loving It","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-2","CustCat_HighValued"
"2","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Mumbai","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Single","Movie-Ace Ventura: When Nature Calls","Movie-Balto","Movie-Waiting to Exhale","Movie-Toy Story","Movie-Dracula: Dead and Loving It","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-Jumanji","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-2","CustCat_HighValued"
"3","Gender-F","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-HomeMaker","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Joint","Movie-Toy Story","Movie-Sabrina","Movie-Grumpier Old Men","Movie-GoldenEye","Movie-Tom And Huck","Movie-Jumanji","Movie-GoldenEye","Movie-Father of the Bride Part II","Movie-Ace Ventura: When Nature Calls","Movie-Balto","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-3","CustCat_HighValued"
"4","Gender-M","IsMarried-N","IsPremiumCust-N","City-Hyd","JobType-GovtOfficial","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Single","Movie-Toy Story","Movie-Dracula: Dead and Loving It","Movie-Jumanji","Movie-SuddenDeath","Movie-Sabrina","Movie-GoldenEye","Movie-Balto","Movie-Nixon","Movie-Jumanji","Movie-GoldenEye","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-3","CustCat_HighValued"
"5","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Blore","JobType-Technology","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Single","Movie-Sabrina","Movie-Jumanji","Movie-GoldenEye","Movie-Dracula: Dead and Loving It","Movie-Balto","Movie-Nixon","Movie-Ace Ventura: When Nature Calls","Movie-Toy Story","Movie-The American President","Movie-Jumanji","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-2","CustCat_HighValued"
"6","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Blore","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Single","Movie-Waiting to Exhale","Movie-Dracula: Dead and Loving It","Movie-Toy Story","Movie-Tom And Huck","Movie-Waiting to Exhale","Movie-Heat","Movie-Tom And Huck","Movie-The American President","Movie-The American President","Movie-GoldenEye","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-4","CustCat_HighValued"
"7","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Noida","JobType-Technology","HouseHoldPopulation-5","CurrentPlan-PlanA","AccType-Single","Movie-Sabrina","Movie-Nixon","Movie-Waiting to Exhale","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Heat","Movie-Father of the Bride Part II","Movie-Jumanji","Movie-The American President","Movie-Toy Story","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-1","CustCat_HighValued"
"8","Gender-M","IsMarried-N","IsPremiumCust-N","City-Hyd","JobType-HomeMaker","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Single","Movie-Tom And Huck","Movie-Heat","Movie-Toy Story","Movie-Grumpier Old Men","Movie-Dracula: Dead and Loving It","Movie-Dracula: Dead and Loving It","Movie-Tom And Huck","Movie-Dracula: Dead and Loving It","Movie-Balto","Movie-SuddenDeath","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-1","CustCat_HighValued"
"9","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-Self","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Single","Movie-Balto","Movie-Jumanji","Movie-Father of the Bride Part II","Movie-Sabrina","Movie-The American President","Movie-Balto","Movie-The American President","Movie-Jumanji","Movie-The American President","Movie-Nixon","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-1","CustCat_HighValued"
"10","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Hyd","JobType-Others","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Single","Movie-Ace Ventura: When Nature Calls","Movie-Jumanji","Movie-Waiting to Exhale","Movie-Ace Ventura: When Nature Calls","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-Ace Ventura: When Nature Calls","Movie-Tom And Huck","Movie-Balto","Movie-Balto","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-3","CustCat_HighValued"
